SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionVillage,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto
7798,7796,2017-12-29,"Village Headmen","Village Results",,Williams,Juliana,I,808080,1119,,No,Final/Certified,
7545,7544,2017-12-29,"Village Headmen","Village Results","deep Eye Water",Kabia,"Ismail Abdulah",I,808080,1000,,No,Final/Certified,
7849,7848,2017-12-29,"Village Headmen","Village Results",Tombo,Kargbo,"Orbigay Alimamy",I,808080,991,,No,Final/Certified,
7736,7735,2017-12-29,"Village Headmen","Village Results",Mabureh,Bangura,"Amadu Merechem",I,808080,973,,Yes,Final/Certified,
7734,7732,2017-12-29,"Village Headmen","Village Results",Mabureh,Kamara,"Abu Bakarr",I,808080,969,,No,Final/Certified,
7803,7802,2017-12-29,"Village Headmen","Village Results","Mano Koya",Kamara,"Mohamed Shimra",I,808080,910,,Yes,Final/Certified,
7397,7396,2017-12-29,"Village Headmen","Village Results",Adonkia,Kargbo,"Jeffery Lahim",I,808080,904,,,Final/Certified,
7463,7462,2017-12-29,"Village Headmen","Village Results","Bassa Town",Dumbuya,Momoh,I,808080,903,,Yes,Final/Certified,
7461,7460,2017-12-29,"Village Headmen","Village Results","Banga Farm",Kamara,"Abduraman Olu",I,808080,858,,Yes,Final/Certified,
7631,7629,2017-12-29,"Village Headmen","Village Results",Jui,Koroma,"Mohamed Albert",I,808080,787,,Yes,Final/Certified,
7827,7825,2017-12-29,"Village Headmen","Village Results",Mongegba,Sesay,Abu,I,808080,785,,Yes,Final/Certified,
7616,7615,2017-12-29,"Village Headmen","Village Results",Hamilton,Conteh,Morlai,I,808080,743,,Yes,Final/Certified,
7447,7446,2017-12-29,"Village Headmen","Village Results",Adonkia,Bangura,Abdul,I,808080,736,,No,Final/Certified,
7633,7632,2017-12-29,"Village Headmen","Village Results",Jui,Kargbo,Alusine,I,808080,717,,No,Final/Certified,
7481,7480,2017-12-29,"Village Headmen","Village Results",Benguema,Ellie,"Sahr Emmanuel",I,808080,670,,Yes,Final/Certified,
7477,7476,2017-12-29,"Village Headmen","Village Results",Benguema,Conteh,Ekundayo,I,808080,666,,No,Final/Certified,
7538,7537,2017-12-29,"Village Headmen","Village Results","Cole Town",Turay,"Alimamy Sokie",I,808080,657,,Yes,Final/Certified,
7865,7864,2017-12-29,"Village Headmen","Village Results","Yams Farm",Sow,Abubakarr,I,808080,634,,No,Final/Certified,
7612,7611,2017-12-29,"Village Headmen","Village Results",Hamilton,Sesay,Allieu,I,808080,612,,No,Final/Certified,
7635,7634,2017-12-29,"Village Headmen","Village Results",Jui,Kanu,"Hassan Kay",I,808080,590,,No,Final/Certified,
7550,7549,2017-12-29,"Village Headmen","Village Results","Devil Hole",Bundu,"Hasmiyou Philemon Otis",I,808080,578,,Yes,Final/Certified,
7571,7570,2017-12-29,"Village Headmen","Village Results",Fogbo,Kamara,"Ibrahim Sorie",I,808080,577,,Yes,Final/Certified,
7536,7534,2017-12-29,"Village Headmen","Village Results","Cole Town",Sesay,"Ibrahim Sorie",I,808080,576,,No,Final/Certified,
7824,7823,2017-12-29,"Village Headmen","Village Results",,Cole,"Kossie Henessy",I,808080,575,,No,Final/Certified,
7483,7482,2017-12-29,"Village Headmen","Village Results",Benguema,Bangura,Abubakarr,I,808080,574,,No,Final/Certified,
7489,7488,2017-12-29,"Village Headmen","Village Results",Bolima,Kargbo,"Abu Bakarr",I,808080,570,,Yes,Final/Certified,
7698,7697,2017-12-29,"Village Headmen","Village Results","Kossoh Town",Coker,Emeric,I,808080,569,,Yes,Final/Certified,
7618,7617,2017-12-29,"Village Headmen","Village Results",Hamilton,Koroma,Hassan,I,808080,552,,No,Final/Certified,
7717,7715,2017-12-29,"Village Headmen","Village Results",Lumpa,Bangura,James,I,808080,550,,No,Final/Certified,
7548,7546,2017-12-29,"Village Headmen","Village Results","Devil Hole",Mansaray,Abdulai,I,808080,540,,No,Final/Certified,
7589,7587,2017-12-29,"Village Headmen","Village Results",Gloucester,Hanciles,"Frederick E. B.",I,808080,538,,Yes,Final/Certified,
7600,7599,2017-12-29,"Village Headmen","Village Results","Goderich (Sherbro Town)",Marah,Osman,I,808080,531,,No,Final/Certified,
7801,7799,2017-12-29,"Village Headmen","Village Results","Mano Koya",Kamara,Sahr,I,808080,529,,No,Final/Certified,
