SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionWard,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,ElectionRound
29921,29920,2018-03-07,Councillors,"Ward Results","Ward 281",Jaiah,Alfred,NGC,4B0082,418,8.01,No,Provisional,male-blank-profile-photo.png,"First Round"
33901,33900,2018-03-07,Councillors,"Ward Results","Ward 069",Sesay,Jalahan,APC,FF333C,415,7.32,No,Final/Certified,female-profile-blank-photo.png,"First Round"
30260,30259,2018-03-07,Councillors,"Ward Results","Ward 276",Ssheriff,muctar,CDP,F1C40F,414,5.56,No,Provisional,female-profile-blank-photo.png,"First Round"
33125,33124,2018-03-07,Councillors,"Ward Results","Ward 351",Wai,Abraham,I,808080,414,13.35,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33179,33178,2018-03-07,Councillors,"Ward Results","Ward 357",Sheriff,Momoh,CDP,F1C40F,412,6.34,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32503,32502,2018-03-07,Councillors,"Ward Results","Ward 335",Gassama,Mohamed,NGC,4B0082,411,10.73,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33077,33076,2018-03-07,Councillors,"Ward Results","Ward 119",Kargbo,Fatmata,NGC,4B0082,411,6.45,No,Final/Certified,female-profile-blank-photo.png,"First Round"
32635,32634,2018-03-07,Councillors,"Ward Results","Ward 345",Fatoma,David,APC,FF333C,410,7.86,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30250,30249,2018-03-07,Councillors,"Ward Results","Ward 271",Mbameh,Yusuf,NGC,4B0082,408,6.96,No,Provisional,male-blank-profile-photo.png,"First Round"
34425,34424,2018-03-07,Councillors,"Ward Results","Ward 255",Bangura,Foday,ADP,FF339F,405,5.82,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34485,34484,2018-03-07,Councillors,"Ward Results","Ward 260",Kamara,Osman,I,808080,405,6.12,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34135,34134,2018-03-07,Councillors,"Ward Results","Ward 207",Bangura,Abdul,SLPP,009900,401,8.31,No,Final/Certified,male-blank-profile-photo.png,"First Round"
